,MOTA,MOTP,OSPA (Total),OSPA (Loc),OSPA (Card),RMSE (Pos),IDSW,FAR,Count Err,G-IoU,Purity,Comp,Time
Full_Model,0.7833988878339888,3.059257307074319,12.54403036783799,3.508162575305198,10.45188523153479,5.382203330457507,495.0,0.0108,0.5326,0.0,0.0,0.0,0.0
No_Fourier,0.7642750576427506,3.7297395266677773,13.844163639723646,4.2549910344093265,11.363196591326055,6.383266092425238,581.0,0.0108,0.5726,0.0,0.0,0.0,0.0
No_Adaptive_Fusion,0.7673267326732673,3.870841388204972,14.001078203969637,4.5840540301492565,11.181719393040392,6.368030579875956,555.0,0.023,0.5628,0.0,0.0,0.0,0.0
Plain_GCN,0.747728197477282,6.6626001956979275,16.674312964158993,6.805636625393708,12.189745925917963,8.691182392202013,629.0,0.0062,0.6114,0.0,0.0,0.0,0.0
