,OSPA (Total),RMSE (Pos),IDSW,MOTA,MOTP,FAR,Time
Full_Model,2.5091863576365427,1.7551093239977056,38445.0,0.7566112586070524,1.532153311445462,0.2056,2.9236069202423094
No_Fourier,2.6011309729805157,1.8694804777351535,38939.0,0.7536007063454593,1.6401856354762419,0.2048,2.844267416000366
No_Adaptive_Fusion,2.6484830154196994,1.9199843833507912,39055.0,0.7528587983543131,1.6888185846418782,0.2058,2.8293641567230225
Plain_GCN,2.812673009924917,2.1168100278228663,40245.0,0.745568479333877,1.8734660766648852,0.2056,2.759276533126831
